Title,Video ID,Video URL,Channel Title,Misleading Video,False Promises ,Exaggerated Video,Spam Content ,Exploits Curiosity Gap :,Label
Brahmastra Trailer | Ranbir Kapoor | Alia Bhatt | Amitabh Bachchan | Ayan Mukerji,zR8x5FAvlPU,https://www.youtube.com/watch?v=zR8x5FAvlPU,PR Bollywood,No,Yes,Yes,No,No,Clickbait
83 Movie Trailer | Ranveer Singh | Deepika Padukone | Kapil Dev | Kabir Khan,STL-ueSScRI,https://www.youtube.com/watch?v=STL-ueSScRI,PR Bollywood,No,Yes,Yes,No,No,Clickbait
Bell Bottom Trailer | Akshay Kumar | Jackky  Bhagnani | Manushi Chhillar,bJ-1QOOett0,https://www.youtube.com/watch?v=bJ-1QOOett0,PR Bollywood,Yes,Yes,Yes,No,No,Clickbait
Mahabharat - Official Trailer | Aamir Khan | Hrithik Roshan | Prabhas | Deepika Padukone | Rajamouli,qfr0NUD3FTU,https://www.youtube.com/watch?v=qfr0NUD3FTU,PR Bollywood,No,Yes,Yes,No,No,Clickbait
"Nick Jonas की इस हरकत पर भड़की Priyanka Chopra, लेने जा रही है तलाक",D_TP0L-s4V0,https://www.youtube.com/watch?v=D_TP0L-s4V0,PR Bollywood,Yes,Yes,Yes,Yes,No,Clickbait
"Brahmastra Official Trailer | Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt | Fox Star Studios | 2021",oj6TqaPdT8Y,https://www.youtube.com/watch?v=oj6TqaPdT8Y,Fox Star Studios,No,Yes,Yes,Yes,No,Clickbait
#Brahmastra #Trailer BRAHMASTRA Trailer 2019new Amitav bachhan best Trailer,s6cjJGwVx7Q,https://www.youtube.com/watch?v=s6cjJGwVx7Q,MSD GAMING ZONE,No,Yes,Yes,Yes,No,Clickbait
Radhe : Official Trailer | Salman Khan | Disha Patani Prabhudeva | Randeep Hooda | Concept Trailer,qji2xLQIs3E,https://www.youtube.com/watch?v=qji2xLQIs3E,Bollygrad Studioz,No,Yes,Yes,No,No,Clickbait
K.G.F Chapter 2 Official Trailer BIG CLIMAX ! Yash !Srinidhi Shetty !Sanjay Dutt !Prashanth N | 2021,k13GFNFgpOk,https://www.youtube.com/watch?v=k13GFNFgpOk,Bollygrad Studioz,No,Yes,Yes,No,No,Clickbait
"""Krrish 5 Trailer""Official |171 Interesting facts Hrithik Roshan |Deepika Padukone | Rakesh Roshan |",C3E8u7nQsNE,https://www.youtube.com/watch?v=C3E8u7nQsNE,Bollygrad Studioz,Yes,Yes,Yes,Yes,Yes,Clickbait
"""Krrish 4 Trailer""Official | 61 Mysterious Facts| Hrithik Roshan | Deepika Padukone | Rakesh Roshan",g613ogdHIGQ,https://www.youtube.com/watch?v=g613ogdHIGQ,Bollygrad Studioz,Yes,Yes,Yes,Yes,Yes,Clickbait
Jaan : Official Trailer| Prabhas | Pooja Hegde | Radha Krishna | Gopi Krishna | Interesting Facts,HrqEKjX4TXI,https://www.youtube.com/watch?v=HrqEKjX4TXI,Bollygrad Studioz,No,Yes,Yes,No,No,Clickbait
KGF Chapter2 TRAILER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Concept Trailer,alIX6pqJJbc,https://www.youtube.com/watch?v=alIX6pqJJbc,Bollygrad Studioz,No,Yes,Yes,No,No,Clickbait
PK 2 (Official Trailer) - Aamir Khan | Ranbir Kapoor | Rajkumar Hirani |,xXKInf1luP8,https://www.youtube.com/watch?v=xXKInf1luP8,Bollygrad Studioz,No,Yes,Yes,No,No,Clickbait
83 (Hindi )Official Trailer | Ranveer Singh |  Kabir Khan |  Coming soon 2020| Interesting Facts,ThKNjV723yI,https://www.youtube.com/watch?v=ThKNjV723yI,Bollygrad Studioz,No,Yes,Yes,Yes,Yes,Clickbait
Lal Singh Chaddha | Official Trailer | Aamir Khan | Kareena Kapoor | Vijay Setupati #Concept Trailer,HBKrJ4dHLkY,https://www.youtube.com/watch?v=HBKrJ4dHLkY,Bollygrad Studioz,Yes,Yes,Yes,Yes,No,Clickbait
New,mtHbJ2qPDtk,https://www.youtube.com/watch?v=mtHbJ2qPDtk&list=PLr7fwelOgo-DqPXWctQE1x1mYCmgcb_A2,Kala Lal,No,No,No,Yes,No,Clickbait
New,mtHbJ2qPDtk,https://www.youtube.com/watch?v=mtHbJ2qPDtk&list=PLLTpinQGrT2wqUrFhUvZnJHT3EYY5pUDm,Kala Lal,No,No,No,Yes,Yes,Clickbait
New,mtHbJ2qPDtk,https://www.youtube.com/watch?v=mtHbJ2qPDtk&list=PLLTpinQGrT2xaOD9z9fKHtVZGVz7-Fb9n,Kala Lal,No,No,No,Yes,No,Clickbait
Anushka Sharma With Baby Girl Discharged From Hospital,RMiENrqVGNM,https://www.youtube.com/watch?v=RMiENrqVGNM,Bollywood City,No,No,Yes,Yes,No,Clickbait
Virat Kohli Baby Girl Most Expensive Gifts From Indian Cricket Team,-GGNccaLb34,https://www.youtube.com/watch?v=-GGNccaLb34,Bollywood City,Yes,No,Yes,No,No,Clickbait
Taimur Ali Khan New Sister | Kareena Kapoor Son Taimur Ali Khan With His Sister,NeI41nWlhps,https://www.youtube.com/watch?v=NeI41nWlhps,Bollywood City,Yes,Yes,No,No,No,Clickbait
Hrithik Roshan Finally Getting Married Again,QFh0XkV-8YQ,https://www.youtube.com/watch?v=QFh0XkV-8YQ,Bollywood City,Yes,No,No,Yes,No,Clickbait
Sunny Leone & Emraan Hashmi Son Revealed | Emraan Hashmi and Sunny Leone Allegedly Son,ZlgxWwgTNNU,https://www.youtube.com/watch?v=ZlgxWwgTNNU,Bollywood City,Yes,No,Yes,Yes,Yes,Clickbait
Kareena Kapoor Welcomes Her New Born Baby in New House,WydWEcBOLvA,https://www.youtube.com/watch?v=WydWEcBOLvA,Bollywood City,No,Yes,No,Yes,No,Clickbait
"Anushka Sharma and Virat Kholi Blessed With Baby Boy, Finally Good News For Anushka and Virat Fans",zavAKfTum1M,https://www.youtube.com/watch?v=zavAKfTum1M,Bollywood City,Yes,No,Yes,Yes,No,Clickbait
Anushka Sharma and Virat Kohli Baby Name Revealed,RkrsTQP5h4A,https://www.youtube.com/watch?v=RkrsTQP5h4A,Bollywood City,Yes,No,Yes,Yes,Yes,Clickbait
Reality of Anushka Sharma // Model to Actress complete Detail.,VJwe4Ozvk0w,https://www.youtube.com/watch?v=VJwe4Ozvk0w,ULTI KHOPDI,Yes,No,Yes,Yes,Yes,Clickbait
Good News: Virat Kohli & Anushka Sharma Blessed with Baby Girl | Virushka Baby Girl Video,A8hV7P1DPGU,https://www.youtube.com/watch?v=A8hV7P1DPGU,PR Media,Yes,No,Yes,Yes,No,Clickbait
Deepika Padukone Shows Hot Cleavage at xXx Premier,eGhfOdcJXwA,https://www.youtube.com/watch?v=eGhfOdcJXwA,Indiaglitz Bollywood News | Reviews and Interviews,No,Yes,Yes,Yes,No,Clickbait
Deepika Padukone TEASED by Jhanvi Kapoor & Ananya for WEIRD DRESS | Grazia Style Awards 2019 |,_BLJiT_OnIE,https://www.youtube.com/watch?v=_BLJiT_OnIE,BiscootTV,Yes,No,Yes,Yes,No,Clickbait
Deepika Padukone Looks Pregnant - Hidding Her Baby Bump In Loose Clothes,w_uF8dXb5H0,https://www.youtube.com/watch?v=w_uF8dXb5H0,Bol Bollywood,Yes,No,Yes,Yes,No,Clickbait
