video_id,LABEL,title,description,likes,comments,views
zR8x5FAvlPU,FAKE,Brahmastra Trailer | Ranbir Kapoor | Alia Bhatt | Amitabh Bachchan | Ayan Mukerji,"The release date of Karan Johar's Brahmastra is finally out and the film will hit the silver screens on December 4 this year. Starring Ranbir Kapoor and Alia Bhatt in the lead roles, Brahmastra has been directed by Ayan Mukerji. Megastar Amitabh Bachchan has an important role in the film.

Brahmastra Trailer | Ranbir Kapoor | Alia Bhatt | Amitabh Bachchan | Ayan Mukerji

#Brahmastra #RanbirKapoor #AliaBhatt #AmitabhBachchan #KaranJohar",10423,579,1148577
STL-ueSScRI,FAKE,83 Movie Trailer | Ranveer Singh | Deepika Padukone | Kapil Dev | Kabir Khan,"Watch  the 83 Trailer movie of Ranveer Singh and Mohammed Zeeshan Ayyub. Based on True Story of 1983 world cup
#83trailer
#kapildev
#ranveersingh
83 Movie Trailer | Ranveer Singh | Deepika Padukone | Kapil Dev | Kabir Khan
'83 is a biopic based on the life of veteran cricketer Kapil Dev, which talks about the time India won the coveted World Cup in 1983.",22375,446,2718943
bJ-1QOOett0,FAKE,Bell Bottom Trailer | Akshay Kumar | Jackky  Bhagnani | Manushi Chhillar,"Recently, Akshay Kumar took to Twitter to share the first look of his 2021 release, Bell Bottom. The film is said to be a spy thriller directed by Ranjit M Tewari. The film will be directed by Ranjit M Tewari and produced by Vashu Bhagnani, Jackky Bhagnani, Deepshikha Deshmukh, Monisha Advani, Madhu Bhojwani and Nikkhil Advani. Bell Bottom Trailer | Akshay Kumar | Jackky  Bhagnani | Manushi Chhillar",5307,286,480342
qfr0NUD3FTU,FAKE,Mahabharat Trailer | Aamir Khan | Hrithik Roshan | Prabhas | Deepika P | Rajamouli Concept Trailer,"#AamirKhan #Prabhas #HrithikRoshan

Credit:- Universal Fox Studio

Mahabharat Trailer | Aamir Khan | Hrithik Roshan | Prabhas | Deepika P | Rajamouli Concept Trailer

Deepika Padukone announced her next film – Mahabharat while promoting Chhapaak that released on January 12. Ever since the announcement, there has been no news on the project that the actor is also co-producing with Madhu Mantena. Deepika says she had been quite busy with the promotions of Chhapaak and therefore, could not get time to sit on Mahabharat and finalise the logistics. In her latest interview with Mid-Day, she talked about the film, its grandeur and how she’s planning to take it further for a timely release during Diwali 2021.

☞ Subscribe to our NEW Channel Bollywood Drama - https://bit.ly/3bL9FE0

☞ Subscribe to our Channel https://www.youtube.com/c/prbollywood?sub_confirmation=1

☞ Like us on Facebook https://www.facebook.com/prbollywood/

☞ Follow us on Instagram :- https://www.instagram.com/prbollywood/

☞ Follow us on Twitter https://twitter.com/pr_bollywood",138609,10470,12519039
D_TP0L-s4V0,FAKE,"Nick Jonas की इस हरकत पर भड़की Priyanka Chopra, लेने जा रही है तलाक","Angry Priyanka Chopra Throws Nick Jonas Out of Car. Is there any trouble in the paradise of Priyanka Chopra Jonas and Nick Jonas? Recently a news has come forward that Priyanka Chopra has done a shocking and unexpected behaviour with her husband, Nick. Well, Nick and Priyanka have always been found gushing over each other and their PDA moments are couple goals, definitely. The stars have been married to each other for two years now and was having great conjugal life. But if the current reports are to believed then their marriage is going through a rocky path now. The current reports are suggesting that Priyanka has recently thrown Nick out of car and used abusive words. Yes, according to the reports, Priyanka Chopra was angry on her husband and threw him out of the car. But what did happen really between them that the Quantico actress was furious upon her husband, Nick? What has suddenly happened between the husband and wife? Let us find out in this video. As per the recent reports, Priyanka has said to her husband to get out of her cab, angrily. Everybody was baffled to hear something like this from Priyanka for Nick, as they seemed a lovely couple always. But have things taken an ugly turn between Priyanka and Nick now? Well before you speculate any more things about the couple, let us tell you that this was all in reel life. Yes, this was all a part of their script for Priyanka’s upcoming movie. Priyanka Chopra has already started shooting for her upcoming Hollywood rom com drama, tentatively named, Text For You. As per the reports, Nick Jonas is playing a small cameo role in this movie of his wife. And no worries because this scene was just part of that movie of Priyanka, where Nick can also be spotted. Well this is such an exciting news for the fans of the couple as they will be spotted on the giant screen together.

Nick Jonas की इस हरकत पर भड़की Priyanka Chopra, लेने जा रही है तलाक

#priyankachopra
#nickjonas
#bollywood

☞ Subscribe to our NEW Channel Bollywood Drama - https://bit.ly/3bL9FE0

☞ Subscribe to our Channel https://www.youtube.com/c/prbollywood?sub_confirmation=1

☞ Like us on Facebook https://www.facebook.com/prbollywood/

☞ Follow us on Instagram :- https://www.instagram.com/prbollywood/

☞ Follow us on Twitter https://twitter.com/pr_bollywood",3096,72,330555
s6cjJGwVx7Q,FAKE,#Brahmastra #Trailer@Rony ff gaming ... BRAHMASTRA Trailer 2021new Amitav bachhan best Trailer,Like my video OK friend my others video koo check karna please 🥺 @Rony ff gaming,2121,234,266258
qji2xLQIs3E,FAKE,Radhe - The most wanted Bhai | 41Interesting Facts | Salman khan | Disha patani | Randeep | Trailer,"#RadheOfficialTrailer  #SalmanKhan |#DishaPatani |#Prabhudeva |#Randeep Hooda | 2021

Radhe: Your Most Wanted Bhai is an upcoming Indian action film directed by Prabhu Deva and produced by Salman Khan, Sohail Khan and Atul Agnihotri. The film stars Salman Khan, Disha Patani, Megha Akash, Randeep Hooda and Jackie Shroff. It was officially announced on 18 October 2019. 

Release date:  2021 (India)
Director: Prabhu Deva
Cinematography: Ayananka Bose
Producers: Salman Khan, Sohail Khan, Atul Agnihotri
Production companies: Salman Khan Films, Sohail Khan Productions


Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives",44955,1745,4610850
k13GFNFgpOk,FAKE,KGF 2 | 131Interesting Facts | Yash | Srinidhi Shetty | Raveena Tandon | Prashanth Neel |Prakash Raj,"Ghaznavi | Official Motion Teaser | Rajveer Singh | Dr Nirmal Jain | Sanoj Mishra | SMF | Jan 2022.   
. Here We Go, Glimpse Into An Empire Called KGF and a Glance of Rocky's World.

Hombale Films Presents the Official Teaser of KGF Chapter 2.

Written and Directed by Prashanth Neel
Produced by Vijay Kiragandur

Starring: Rocking Star Yash, Sanjay Dutt, Srinidhi Shetty, Raveena Tandon, Prakash Raj, Malvika Avinash, Achyuth Kumar, Ayyappa P. Sharma, Rao Ramesh, Eshwari Rao, Archana Jois, T. S. Nagabharana, Saran, Avinash, Lakki Lakshman, Vashishta Simha, Harish Rai, Dinesh Mangalore, Tarak, Ramachandra Raju, Vinay Bidappa, Ashok Sharma, Mohan Juneja, Govinda Gowda, John Kokken, Srinivas Murthy

Director of Photography: Bhuvan Gowda

Sound Design, Music & Background Score: Ravi Basrur

Direction Team: Kirtan Nadagouda, Dhool Prakash, Bhargav N, Prashanth Hosmane, Chandan L, Yuvindraja, Nishanth Varma, Sanjay Muruli Muddenahally, Ghattimutthu Shashidhar, Abhijith Gorachi, Shiva Kumar, Mithilesh Gowda, Akash Thaargar, Akash Rambo, Farman Ullah

Cameraman Team: Sandy, Prajwal Gowda, Kumar Gowda, Sagar Gowda, Manuraj  

Executive Producer: Karthik Gowda, K. V Rama Rao
Editor: Ujwal Kulkarni
Production Design: Shivakumar
Action: Anbariv
Choreography: Harsha, Mohan
Dubbing: Anand Y. S
Costume Designer: Yogi G Raj, Sania Sardhariya, Navin Shetty, Ashwin Mawle, Hassan Khan
Dialogues: Chandramouli.M, Dr. Suri, Prashanth Neel
Sound Effects: Nanndhu J & Team
Production Managers: K S Champakadama,Gagan Murthy, S Kumar
Production Incharge: Chidanand, Suresh Shankarananhalli, Shashikanth
DI & VFX: Unify Media
VFX Supervisor: Konda Reddy Suresh
Colorist: Fergus Hally, Ashwath
Marketing: Likitha Reddy, Naren Marol, Anil Kumar, Shreya Unchalli, Manoj Shetty, Lakshmi Narayan
Digital Media PR - Prasad Bhimanadham

#KGFChapter2 #KGFChapter2Teaser #HombaleFilms #RockingStarYash #KGF2

For More Updates:

YouTube: https://www.youtube.com/HombaleNinnin...
Facebook: https://www.facebook.com/HombaleFilms/
Twitter: https://www.Twitter.com/hombalefilms
Instagram: https://www.instagram.com/hombalefilms Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021` 
 https://youtu.be/nzN39t9919c Kachchi Sadak heart touching Short Movie 2021 || कच्ची सड़क award winning short movie sanoj mishra film
https://youtu.be/UouctXV49VE.",62482,1319,6572162
C3E8u7nQsNE,FAKE,KRRISH 4 | 111Interesting Facts | Hrithik Roshan | Nawazuddin | Amitabh | Rakesh Roshan | Ayan,"""Krrish 5 Trailer""Official |101 Interesting facts Hrithik Roshan |Deepika Padukone | Rakesh Roshan |
""Krrish 4 : JADOO is Back Trailer""Official | Hrithik Roshan |Deepika Padukone | Rakesh Roshan |2021
""#Krrish4Trailer""Official |51 Interesting Facts| #HrithikRoshan |Deepika Padukone | #RakeshRoshan
Directed by Rakesh Roshan
Produced by Rakesh Roshan
Screenplay by Rakesh Roshan
Honey Irani
Robin Bhatt
Story by Rakesh Roshan
Starring Hrithik Roshan
Krrish 3 is a 2013 Indian Hindi-language superhero film produced and directed by Rakesh Roshan, and written by Honey Irani and Robin Bhatt. It is the third film in the Krrish series, following Koi... Mil Gaya (2003) and Krrish (2006). The film stars Hrithik Roshan, Vivek Oberoi, Priyanka Chopra and Kangana Ranaut in the lead roles. The story follows the life of Rohit Mehra, a scientist, and Krishna Mehra, a.k.a. Krrish, his superhero son, who face an elaborate conspiracy orchestrated by the evil genius Kaal and his female henchman Kaya. In the process, Krishna's pregnant wife Priya is kidnapped by Kaal and the form-changing Kaya takes her place at the Mehra home and eventually falls in love with Krishna.

Krrish 3 was initially scheduled to release as a 3D film. However, due to lack of time to convert the film to 3D, director Rakesh Roshan mentioned that the film will be released only in the 2D format. Krrish 3 released worldwide on 1 November 2013. Produced on a budget of ₹950 million (US$20 million),[3] the film grossed ₹3.93 billion (US$50 million) worldwide. It has received generally positive reviews,[9] with praise for Roshan and Ranaut's performances, the visual effects, the cinematography, and entertainment value, but with criticism of the music by Rajesh Roshan, the story, and the screenplay.fane madeTrailer


krrish 4 trailer,krrish 4,krrish 4 movie trailer,krrish 4 official trailer,krrish 4 release date,krrish 4 trailer 2017,krish 4 trailer,krrish 4 teaser,krrish 4 movie,krrish 4 full movie,krrish 4 trailer hd,krrish 4 trailer official,krrish 4 trailer release date,krrish 4 trailer 2017 full movie,krrish 4 first look,krrish 4 movie official trailer,koi mil gya jadu is back,krrish 4 official trailer in hindi,krrish,jadoo is back in krrish 4,krrish 4 cast,krrish 4 songs,krish 4,new krrish 4 trailerSocial Media Links

Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021` 
https://youtu.be/nzN39t9919c",13214,359,2458974
g613ogdHIGQ,FAKE,KRRISH 4 | 41Interesting Facts | Hrithik Roshan | Nawazuddin | Amitabh | Rakesh Roshan | Ayan,"""Krrish 4 Trailer""Official | 61 Mysterious Facts| Hrithik Roshan | Deepika Padukone | Rakesh Roshan
""#Krrish4Trailer""Official |151 Interesting Facts| #HrithikRoshan |Deepika Padukone | #RakeshRoshan
Directed by Rakesh Roshan
Produced by Rakesh Roshan
Screenplay by Rakesh Roshan
Honey Irani
Robin Bhatt
Story by Rakesh Roshan
Starring Hrithik Roshan
Krrish 3 is a 2013 Indian Hindi-language superhero film produced and directed by Rakesh Roshan, and written by Honey Irani and Robin Bhatt. It is the third film in the Krrish series, following Koi... Mil Gaya (2003) and Krrish (2006). The film stars Hrithik Roshan, Vivek Oberoi, Priyanka Chopra and Kangana Ranaut in the lead roles. The story follows the life of Rohit Mehra, a scientist, and Krishna Mehra, a.k.a. Krrish, his superhero son, who face an elaborate conspiracy orchestrated by the evil genius Kaal and his female henchman Kaya. In the process, Krishna's pregnant wife Priya is kidnapped by Kaal and the form-changing Kaya takes her place at the Mehra home and eventually falls in love with Krishna.

Krrish 3 was initially scheduled to release as a 3D film. However, due to lack of time to convert the film to 3D, director Rakesh Roshan mentioned that the film will be released only in the 2D format. Krrish 3 released worldwide on 1 November 2013. Produced on a budget of ₹950 million (US$20 million), the film grossed ₹3.93 billion (US$50 million) worldwide. It has received generally positive reviews,with praise for Roshan and Ranaut's performances, the visual effects, the cinematography, and entertainment value, but with criticism of the music by Rajesh Roshan, the story, and the screenplay.
krrish 4 full movie,
krrish 4 movie,
krrish 4 trailer,
krrish 4 full movie in hindi,
krrish 4 hindi movie,
krrish 4 ka trailer,
krrish 4 official trailer,
krrish 4 full movie in hindi 2019,
krrish 4 film,
krrish 4 all song,
krrish 4 and 5,
krrish 4 action,
krrish 4 akshay kumar,
krrish 4 announcement,
krrish 4 action scene,
krrish 4 ad,
all krrish 4,
krrish 4 bollywood movie,
krrish 4 bollywood,
krrish 4 bangla,
krrish 4 budget,
krrish 4 bahubali,
krrish 4 cartoon,
krrish 4 cinema,
krrish 4 coronavirus,
krrish 4 cast,
krrish 4 cartoon full movie in hindi,
krrish 4 comedy,
krrish 4 chahiye,
krrish 4 download,
krrish 4 dhoom 4,
krrish 4 english movie,
krrish 4 english subtitles full movie,
krrish 4 english film,
krrish 4 full movie hd,
krrish 4 full movie in tamil,
krrish 4 full movie in telugu,
krrish 4 full movie 2020,
krrish 4 hindi,
krrish 4 hd,
krrish 4 hindi film,
krrish 4 hindi full movie,
krrish 4 hd movie

Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021` 
 https://youtu.be/nzN39t9919c",25618,705,2970914
